SKU,Custom Object Name
43-0166-00,commercial-kegerator-kit-spdp-43-0166-00
43-0167-00,commercial-kegerator-kit-spdp-43-0167-00
43-0168-00,commercial-kegerator-kit-spdp-43-0168-00
43-0169-00,commercial-kegerator-kit-spdp-43-0169-00
AP10002BL,pac-super-pdp-AP10002BL
AP12000HS,pac-super-pdp-AP12000HS
AP12000S,pac-super-pdp-AP12000S
AP14001HS,pac-super-pdp-AP14001HS
AP14003W,pac-super-pdp-AP14003W
AP14009COM,pac-super-pdp-AP14009COM
AP16000G,pac-super-pdp-AP16000G
AP8000W,pac-super-pdp-AP8000W
APAC100W,pac-super-pdp-APAC100W
APAC120S,pac-super-pdp-APAC120S
APAC140C,pac-super-pdp-APAC140C
APAC140HC,pac-super-pdp-APAC140HC
AV12KS,pac-super-pdp-AV12KS
AV14KC,pac-super-pdp-AV14KC
AV14KHC,pac-super-pdp-AV14KHC
BBR900BL,built-in-bev-spdp-BBR900BL
CBR1501SG,built-in-bev-spdp-CBR1501SG
CBR1501SLD,built-in-bev-spdp-CBR1501SLD
CBR1501SSOD,built-in-bev-spdp-CBR1501SSOD
CBR901SG,built-in-bev-spdp-CBR901SG
CWB1760FD,wine-cooler-spdp-CWB1760FD
CWB8420DZ,wine-cooler-spdp-CWB8420DZ
CWD1510S,wdcSuperPDP-CWD1510S
CWD1510S-LD,wdcSuperPDP-CWD1510S-LD
CWD1510W,wdcSuperPDP-CWD1510W
CWD1510W-LD,wdcSuperPDP-CWD1510W-LD
CWR1101DZ,wine-cooler-spdp-CWR1101DZ
CWR1211SZ,wine-cooler-spdp-CWR1211SZ
CWR1551DD,wine-cooler-spdp-CWR1551DD
CWR1551DZ,wine-cooler-spdp-CWR1551DZ
CWR1661SZ,wine-cooler-spdp-CWR1661SZ
CWR181SZ,wine-cooler-spdp-CWR181SZ
CWR262DZ,wine-cooler-spdp-CWR262DZ
CWR301SZ,wine-cooler-spdp-CWR301SZ
CWR361FD,wine-cooler-spdp-CWR361FD
CWR461DZ,wine-cooler-spdp-CWR461DZ
CWR531SZ,wine-cooler-spdp-CWR531SZ
DEP301EW,dehum-super-pdp-DEP301EW
DEP501EW,dehum-super-pdp-DEP501EW
DEP701EW,dehum-super-pdp-DEP701EW
ECK24BL1C,commercial-kegerator-spdp-ECK24BL1C
ECK24BL1CKIT,commercial-kegerator-spdp-ECK24BL1CKIT
ECK24BL2C,commercial-kegerator-spdp-ECK24BL2C
ECK24BL2CKIT,commercial-kegerator-spdp-ECK24BL2CKIT
ECK24BL3C,commercial-kegerator-spdp-ECK24BL3C
ECK24BL3CKIT,commercial-kegerator-spdp-ECK24BL3CKIT
ECK24BL4T,commercial-kegerator-spdp-ECK24BL4T
ECK24BL4TKIT,commercial-kegerator-spdp-ECK24BL4TKIT
ECK24BLXX,commercial-kegerator-spdp-ECK24BLXX
ECK24BLXXKIT,commercial-kegerator-spdp-ECK24BLXXKIT
ECK24SS1C,commercial-kegerator-spdp-ECK24SS1C
ECK24SS1CKIT,commercial-kegerator-spdp-ECK24SS1CKIT
ECK24SS2C,commercial-kegerator-spdp-ECK24SS2C
ECK24SS2CKIT,commercial-kegerator-spdp-ECK24SS2CKIT
ECK24SS3C,commercial-kegerator-spdp-ECK24SS3C
ECK24SS3CKIT,commercial-kegerator-spdp-ECK24SS3CKIT
ECK24SS4T,commercial-kegerator-spdp-ECK24SS4T
ECK24SS4TKIT,commercial-kegerator-spdp-ECK24SS4TKIT
ECK24SSXX,commercial-kegerator-spdp-ECK24SSXX
ECK24SSXXKIT,commercial-kegerator-spdp-ECK24SSXXKIT
HWD1600BW,wdcSuperPDP-HWD1600BW
HWD1600BW-LD,wdcSuperPDP-HWD1600BW-LD
KC1000SS,keg-super-pdp-KC1000SS
KC1500,keg-super-pdp-KC1500
KC2000,keg-super-pdp-KC2000
KC2000SS,keg-super-pdp-KC2000SS
KC2000SSTWIN,keg-super-pdp-KC2000SSTWIN
KC2000TWIN,keg-super-pdp-KC2000TWIN
KC3000,keg-super-pdp-KC3000
KC3000SS,keg-super-pdp-KC3000SS
KC3000SSTRIP,keg-super-pdp-KC3000SSTRIP
KC3000SSTWIN,keg-super-pdp-KC3000SSTWIN
KC3000TRIP,keg-super-pdp-KC3000TRIP
KC3000TWIN,keg-super-pdp-KC3000TWIN
KC7000SS,keg-super-pdp-KC7000SS
KC7000SSOD,keg-super-pdp-KC7000SSOD
KC7000SSODTRIP,keg-super-pdp-KC7000SSODTRIP
KC7000SSODTWIN,keg-super-pdp-KC7000SSODTWIN
KC7000SSTRIP,keg-super-pdp-KC7000SSTRIP
KC7000SSTWIN,keg-super-pdp-KC7000SSTWIN
PAC1201W,pac-super-pdp-PAC1201W
PAC1401W,pac-super-pdp-PAC1401W
PAC801W,pac-super-pdp-PAC801W
PUR700W,pur700w-pdp-content
wdcSuperPDP,wdcSuperPDP
WM3477HS,wdcSuperPDP-WM3477HS
WM3477HS-LD,wdcSuperPDP-WM3477HS-LD
WM3477HW,wdcSuperPDP-WM3477HW
WM3477HW-LD,wdcSuperPDP-WM3477HW-LD
WM3997HWA,wdcSuperPDP-WM3997HWA
WM3997HWA-LD,wdcSuperPDP-WM3997HWA-LD
